LOCATION,LATITUDE,LONGITUDE
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
NOIDA,28.5355,77.3910
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
VARANASI,25.3176,82.9739
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
DELHI,28.7041,77.1025
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
LUCKNOW,26.8467,80.9462
MORADABAD,28.8389,78.7769
LUCKNOW,26.8467,80.9462
PRAYAGRAJ,25.4358,81.8463
LUCKNOW,26.8467,80.9462
HYDERABAD,17.387140,78.491684
